Months MM-YYYY;Hard Coal + Imported Coal;Lignite;Liquid Fuels;Naturl Gas +Lng;Renew and Wastes;THERMAL;HYDRO;GEOTHERMAL + WIND +SOLAR;GROSS GENERATION;IMPORTS;EXPORTS;GROSS DEMAND
1.02.2022;563.029.820.564.409;367.973.289.463.988;511.773.351;581.577.016.368.218;681.683.227.752.763;163.192.578.427.189;507.305.881.842.314;440.440.081.991.772;257.967.174.810.598;41.913.361;38.247.134;258.333.797.510.598
1.03.2022;444.409.569.227.117;405.845.118.286.631;767.025.855;529.420.385.347.873;716.100.622.394.177;152.798.772.060.104;810.335.533.745.423;531.117.899.582.033;286.944.115.392.849;29.870.953;33.099.687;28.662.124.199.285
1.04.2022;314.993.135.416.375;368.362.605.122.804;620.029.982;419.388.556.695.133;724.133.687.374.283;123.716.066.417.174;873.749.345.811.672;497.062.289.930.084;26.079.722.999.135;37.053.317;34.173.877;26.108.517.399.135
1.05.2022;325.292.350.826.602;345.721.619.743.027;180.727.337;444.858.727.223.032;790.101.507.772.519;121.295.558.226.991;872.943.570.986.535;462.835.648.399.411;254.873.480.165.586;43.069.858;36.455.676;255.534.898.365.586
1.06.2022;470.007.880.190.442;374.417.103.535.177;6.228.999;559.388.962.667.651;780.863.695.932.476;148.812.931.498.652;699.877.009.045.667;53.587.646.480.275;272.388.278.883.493;51.613.579;28.642.838;274.685.352.983.493
1.07.2022;591.328.834.851.549;357.489.381.758.888;663.346;588.849.162.893.131;794.520.721.473.171;162.375.291.165.088;564.955.615.820.902;700.668.353.670.715;28.893.768.811.425;53.459.935;25.706.309;29.171.305.071.425
1.08.2022;657.686.721.515.758;363.683.877.939.745;6.896.674;979.988.711.618.273;763.194.110.352.648;208.457.539.610.904;54.393.525.657.758;535.973.247.759.977;31.644.839.004.466;56.607.094;23.988.373;31.971.026.214.466
1.09.2022;641.351.229.521.113;35.975.540.585.129;590.664;756.706.524.884.891;741.635.574.718.645;183.788.335.772.916;395.688.296.582.064;492.391.320.223.811;272.596.297.453.503;64.096.612;29.166.486;276.089.310.053.503
1.10.2022;680.358.346.402.225;373.807.440.318.411;64.593.712;500.774.468.697.384;741.181.789.334.438;163.551.780.555.146;33.079.434.356.476;538.353.594.865.775;2.504.665.743.982;70.063.567;28.723.914;2.546.005.396.982
1.11.2022;726.701.798.205.571;362.977.635.946.348;49.659.875;487.771.501.433.638;790.738.466.911.583;166.149.076.977.672;316.824.875.281.982;483.612.610.813.907;24.619.282.558.726;74.127.826;24.160.619;25.118.954.628.726
1.12.2022;745.792.098.131.331;383.943.487.995.164;48.177.241;671.615.041.095.261;832.291.183.001.864;188.939.746.962.194;329.318.228.439.334;4.361.476.313.523;265.486.332.941.358;72.362.493;26.114.899;270.111.092.341.358
;;;;;;;;;;;;
Source€ TUIK;;;;;;;;;;;;
;GWh as unit;;;;;;;;;;;
