date,turkey_total_generation_in_gwh,population,imports_in_gwh,exports_in_gwh,gross_demand_in_gwh,natural_gas_price_usd_Mmbtu,pib_m_dollar,ratio_dollar_tl,coal_elect_prod_gwh,ng_elect_prod_gwh,thermique_elect_prod_gwh,hidro_elect_prod_gwh,geothermal_elect_prod_gwh,wind_elect_prod_gwh,solar_elect_prod_gwh,geothermal_solar_wind_elect_prod_gwh,roll_mean,roll_std
2008-06-01,16558.6,,47.0,78.5,16527.1,13353,205.54903967050038,1.2237,5222.086,7762.785,13579.675000000001,2908.087,70.846,0.0,0.0,70.846,16487.121159833336,858.7629985066003
2008-07-01,18304.4,,81.3,77.2,18308.5,9119,233.07399331615133,1.1616,5242.182,8757.743,14688.966,3517.825,97.607,0.0,0.0,97.607,16555.199321833334,970.7127885061728
2008-08-01,18442.5,,33.7,84.4,18391.8,7943,228.5679617020189,1.1845,5424.813,8915.981,15016.723,3300.981,124.82199999999999,0.0,0.0,124.82199999999999,16622.890908583333,1071.7037791039643
2008-09-01,16070.8,,66.7,92.4,16045.1,7438,212.09459509286435,1.2765,4834.407,8577.803,14021.009,1964.964,84.86,0.0,0.0,84.86,16656.958680583335,1043.6198400156454
2008-10-01,14974.6,,66.5,124.1,14917.0,6783,169.01333437093152,1.5422,4779.798,8033.115,13405.154,1456.019,113.432,0.0,0.0,113.432,16644.112361666666,1065.6313220555664
2008-11-01,15475.74,,66.1,95.8,15446.04,6510,166.52974972326257,1.5652,4667.853,8153.582,13508.969,1872.631,94.115,0.0,0.0,94.115,16589.331317833334,1111.8486153634885
2008-12-01,15860.64,,58.5,102.7,15816.439999999999,5622,169.19984697620941,1.5405,4990.308,8196.795,13807.234,1941.116,112.27,0.0,0.0,112.27,16507.098333333335,1130.9183504474765
2009-01-01,16891.584,,64.92,105.088,16851.415999999997,4417,129.5427515881681,1.6433,5273.396000000001,7946.692,14294.127000000002,2471.485,15.398,110.574,0.0,125.972,16415.691333333332,1044.899690921018
2009-02-01,15049.78,,56.278,96.029,15010.029,4198,125.21475424083091,1.7001,4477.098,7873.381,12978.549,1937.77,13.257,120.206,0.0,133.463,16291.185416666667,1119.7409939374957
2009-03-01,16027.139,,60.24,103.668,15983.711,3776,128.0852007730666,1.662,4459.487,8130.495,13213.532000000001,2715.1,16.009,82.496,0.0,98.505,16269.453,1123.2546963708355
2009-04-01,14890.347999999998,,60.223,101.468,14849.102999999997,3373,152.00786310130673,1.5983,3933.504,7029.344,11426.503,3358.806,25.446,79.601,0.0,105.047,16202.519916666666,1185.5749693509827
2009-05-01,15352.341000000002,,50.559,105.185,15297.715000000002,3835,158.21448788409649,1.5356,4236.412,6854.446,11446.756,3786.473,34.887,84.225,0.0,119.112,16120.3295,1213.276474735382
2009-06-01,15948.036,,58.379,106.799,15899.616,3835,157.60893129731986,1.5415,4490.177,7810.65,12620.152,3202.802,43.429,81.644,0.0,125.07300000000001,16068.039166666664,1207.6603491311819
2009-07-01,17751.783,,89.741,98.016,17743.508,3653,186.05122746208082,1.4711,5157.7880000000005,8504.357,14045.071,3529.733,44.102,132.867,0.0,176.969,16020.9565,1120.219477004616
2009-08-01,17815.311,,93.937,204.692,17704.556000000004,2977,182.4179956807965,1.5004,5252.045,8732.525,14267.979,3315.097,43.963,188.27,0.0,232.233,15963.686166666666,999.0021441969943
2009-09-01,15500.818,,52.898,174.415,15379.300999999998,4841,184.44636479511226,1.4839,4195.841,8105.069,12556.968,2762.544,47.722,133.584,0.0,181.306,15908.202916666667,1012.4675188328647
2009-10-01,16053.931,,36.88,100.907,15989.904,5045,183.77638715237708,1.5064,4794.031,8144.674,13180.777,2688.705,50.15,134.298,0.0,184.448,15997.611583333333,963.1510866334607
2009-11-01,15811.707999999999,,91.702,124.119,15779.290999999997,4848,181.1547896913629,1.5282,4386.58,7996.223,12639.826000000001,2997.655,49.506,124.721,0.0,174.227,16025.3825,950.5232124912465
2009-12-01,17720.159,,96.194,225.443,17590.91,5572,184.535894951567,1.5002,5028.722,8966.833,14253.206,3192.198,51.869,222.884,0.0,274.753,16173.255,1048.0831950932884
2010-01-01,17501.731,,97.613,177.636,17421.708000000002,5131,161.59410648257017,1.497,4555.62,8238.9,13012.36,4199.0,51.88,238.5,0.0,290.38,16220.779333333334,1093.5717969691298
2010-02-01,15837.69,,95.074,187.748,15745.016000000001,4813,156.40161466632674,1.5467,4093.4,6964.4,11235.34,4352.8,46.14,203.43,0.0,249.57,16282.028250000001,1038.8065376169473
2010-03-01,17119.705,,81.059,121.93,17078.834000000003,3869,159.2327392077459,1.5192,3998.3,7306.6,11518.81,5368.4,46.83,185.7,0.0,232.52999999999997,16373.2885,1058.1404903877196
2010-04-01,16362.722,,58.631,107.617,16313.735999999999,3920,188.3353293325544,1.4897,3218.6,7071.7,10508.529,5596.7,57.2,200.3,0.0,257.5,16495.34125,944.74223746879
2010-05-01,16812.895,,58.406,159.639,16711.662,4341,178.23717686722972,1.5741,3871.08,7372.34,11458.52,5167.0,55.93,131.4,0.0,187.33,16613.170166666667,866.7493627860553
2010-06-01,17311.9,,46.577,215.404,17143.073000000004,4616,176.79950854288631,1.5869,5050.6,7465.85,12723.9,4366.5,56.8,164.73,0.0,221.52999999999997,16716.791583333335,847.8093549041906
2010-07-01,19567.597,,91.577,231.223,19427.951,4923,212.71803695633858,1.5078,5434.8,8963.1,14626.4,4582.14,54.74,304.3,0.0,359.04,16857.16183333333,1126.7967801854982
2010-08-01,20620.807,,78.72,246.395,20453.132,3816,210.08466373404553,1.5267,5757.6,9507.7,15569.02,4709.72,54.4,287.63,0.0,342.03,17086.209833333334,1524.0421597726274
2010-09-01,17139.645,,92.337,137.98,17094.002,3872,221.47234920782168,1.4482,4621.15,8714.8,13544.33,3255.7,56.35,283.24,0.0,339.59000000000003,17229.101583333333,1426.7335827732156
2010-10-01,17291.0,,132.172,105.077,17318.094999999998,4038,226.4191943624242,1.433,4446.94,9055.84,13705.65,3233.14,62.54,289.63,0.0,352.17,17339.784166666668,1372.3423057271184
2010-11-01,16464.48,,142.677,112.301,16494.856,4180,215.60150542983178,1.5049,4725.8,7824.5,12747.68,3394.13,60.88,261.84,0.0,322.71999999999997,17399.414583333335,1312.6189189238132
2010-12-01,19177.547,,168.982,114.634,19231.895,4405,210.42785233890257,1.5419,5272.5,9658.01,15177.03,3570.23,64.55,365.73,0.0,430.28000000000003,17536.163333333334,1415.8057142273742
2011-01-01,19603.106,,163.234,41.967,19724.373,4420,182.5186749602335,1.6045,6014.78,9906.6,16099.079999999998,3164.7,65.1,274.25,0.0,339.35,17728.052083333332,1548.6906504373908
2011-02-01,17649.922,,361.324,220.941,17790.305,4037,183.19230199780728,1.5986,5265.379999999999,8819.35,14209.08,3079.12,57.0,304.65,0.0,361.65,17898.492833333334,1417.607227465252
2011-03-01,19157.475,,317.791,197.149,19278.117,4389,189.498650170632,1.5454,5541.48,8717.2,14366.53,4412.0,64.5,314.5,0.0,379.0,18081.76641666667,1443.926607521507
2011-04-01,17797.292,,329.763,203.737,17923.318,4698,222.72385828178056,1.5211,4270.78,7442.1,11806.53,5568.66,58.7,363.4,0.0,422.09999999999997,18215.898250000002,1335.441455403747
2011-05-01,17579.678,,325.92,219.252,17686.345999999998,4666,212.55113923860745,1.5939,4615.24,6484.9,11186.039999999999,6048.2,53.3,292.2,0.0,345.5,18297.121916666667,1263.3280064346773
2011-06-01,18048.739,,252.938,298.916,18002.761,4374,209.0492785588155,1.6206,5438.139999999999,6619.3,12127.44,5539.3,54.1,327.9,0.0,382.0,18368.762583333333,1215.401355184235
2011-07-01,20947.728,,531.063,408.749,21070.041999999998,4145,227.7674199256842,1.6887,6286.9400000000005,9081.0,15458.94,5074.1,56.0,358.7,0.0,414.7,18505.6035,1420.6122285587282
